DATE,EMRATIO
1/1/1948,56.6
2/1/1948,56.7
3/1/1948,56.1
4/1/1948,56.7
5/1/1948,56.2
6/1/1948,57
7/1/1948,57.1
8/1/1948,56.6
9/1/1948,56.6
10/1/1948,56.5
11/1/1948,56.5
12/1/1948,56.8
1/1/1949,56.2
2/1/1949,56.2
3/1/1949,56
4/1/1949,55.7
5/1/1949,55.4
6/1/1949,55
7/1/1949,55
8/1/1949,55.1
9/1/1949,55.3
10/1/1949,54.9
11/1/1949,55.6
12/1/1949,55.3
1/1/1950,55.1
2/1/1950,55.1
3/1/1950,55.1
4/1/1950,55.8
5/1/1950,55.8
6/1/1950,56.2
7/1/1950,56.1
8/1/1950,56.8
9/1/1950,56.6
10/1/1950,56.9
11/1/1950,56.9
12/1/1950,56.7
1/1/1951,56.9
2/1/1951,57
3/1/1951,57.7
4/1/1951,57.3
5/1/1951,57.6
6/1/1951,57.1
7/1/1951,57.6
8/1/1951,57.4
9/1/1951,57.1
10/1/1951,57.3
11/1/1951,57.1
12/1/1951,57.7
1/1/1952,57.7
2/1/1952,57.7
3/1/1952,57.1
4/1/1952,57.1
5/1/1952,57.3
6/1/1952,57.3
7/1/1952,57
8/1/1952,56.8
9/1/1952,57.4
10/1/1952,56.9
11/1/1952,57.5
12/1/1952,57.6
1/1/1953,57.8
2/1/1953,58
3/1/1953,58.1
4/1/1953,57.5
5/1/1953,57.1
6/1/1953,57.4
7/1/1953,57.4
8/1/1953,57.1
9/1/1953,56.8
10/1/1953,56.7
11/1/1953,56.5
12/1/1953,55.7
1/1/1954,55.7
2/1/1954,56.2
3/1/1954,55.7
4/1/1954,55.7
5/1/1954,55.4
6/1/1954,55.2
7/1/1954,55
8/1/1954,55.2
9/1/1954,55.5
10/1/1954,55.5
11/1/1954,55.5
12/1/1954,55.2
1/1/1955,55.7
2/1/1955,55.7
3/1/1955,55.8
4/1/1955,56.2
5/1/1955,56.3
6/1/1955,56.3
7/1/1955,56.9
8/1/1955,57.1
9/1/1955,57.2
10/1/1955,57.2
11/1/1955,57.4
12/1/1955,57.7
1/1/1956,57.8
2/1/1956,57.5
3/1/1956,57.3
4/1/1956,57.5
5/1/1956,57.6
6/1/1956,57.5
7/1/1956,57.5
8/1/1956,57.6
9/1/1956,57.6
10/1/1956,57.5
11/1/1956,57.3
12/1/1956,57.3
1/1/1957,57
2/1/1957,57.5
3/1/1957,57.6
4/1/1957,57.2
5/1/1957,57.1
6/1/1957,57.2
7/1/1957,57.5
8/1/1957,56.9
9/1/1957,57
10/1/1957,56.8
11/1/1957,56.4
12/1/1957,56.6
