"","date","CRWD","ZS","OKTA","PANW","FTNT","CYBR","index"
"1",2018-03-16,NA,NA,NA,NA,NA,NA,0
"2",2018-03-19,-1.08351501658515,-1.29572269776898,-1.28488647763193,-1.02039020578846,-1.35708674000266,-1.87687092517595,-7.91847206295314
"3",2018-03-20,-1.08351501658515,-1.35764330910615,-1.29243167171893,-1.02649073873842,-1.36286417966859,-1.88636448651034,-8.00930940232758
"4",2018-03-21,-1.08351501658515,-1.32766745166311,-1.27940923025482,-1.01856812880261,-1.35904379612188,-1.8770918684286,-7.94529549185616
"5",2018-03-22,-1.08351501658515,-1.31915949446191,-1.27261250833807,-1.01806696302129,-1.35200878940125,-1.87377614443731,-7.91913891624498
"6",2018-03-23,-1.08351501658515,-1.33433802303228,-1.27653578338995,-1.0323584769248,-1.36055490944419,-1.89099459995244,-7.97829680932882
"7",2018-03-26,-1.08351501658515,-1.33918134581699,-1.28736055317286,-1.04630205982436,-1.36641242254791,-1.928099504084,-8.05087090203127
"8",2018-03-27,-1.08351501658515,-1.35848550319198,-1.26881464836763,-1.02043576190107,-1.35191956997096,-1.90771545494752,-7.99088595496432
"9",2018-03-28,-1.08351501658515,-1.35944774525407,-1.28631913745822,-1.05681948794879,-1.36304170817785,-1.90749584445581,-8.05663893987989
"10",2018-03-29,-1.08351501658515,-1.36209242261128,-1.2887918720125,-1.06831427283654,-1.37234345732352,-1.90815473046808,-8.08321177183709
"11",2018-04-02,-1.08351501658515,-1.35559706045916,-1.2681593295675,-1.04739083681076,-1.36082150301018,-1.88570273469008,-8.00118648112283
"12",2018-04-03,-1.08351501658515,-1.36773510896141,-1.27901758775453,-1.0536479421912,-1.37101696766042,-1.90705651021306,-8.06198913336577
"13",2018-04-04,-1.08351501658515,-1.37085225632225,-1.27940923025482,-1.03444958853058,-1.36215388807191,-1.91451968520961,-8.04489966497431
"14",2018-04-05,-1.08351501658515,-1.35680089622362,-1.27195804036512,-1.01227815544547,-1.35432635613658,-1.88040547908257,-7.9592839438385
"15",2018-04-06,-1.08351501658515,-1.35005371842303,-1.2795397983523,-0.97955450805348,-1.35183039005397,-1.85805351214362,-7.90254694361154
"16",2018-04-09,-1.08351501658515,-1.35379048504159,-1.2839743911368,-0.991271387999597,-1.35414817095493,-1.89099459995244,-7.9576940516705
"17",2018-04-10,-1.08351501658515,-1.37396626560237,-1.28371373043067,-1.0182947653737,-1.35290041930628,-1.89253700632729,-8.00492720362548
"18",2018-04-11,-1.08351501658515,-1.35559706045916,-1.27640507020444,-1.02330456830274,-1.33715977465417,-1.88106791304418,-7.95704940324985
"19",2018-04-12,-1.08351501658515,-1.35992877018277,-1.26159757003945,-1.02253055160048,-1.34968895282141,-1.87244933261512,-7.94971019384438
"20",2018-04-13,-1.08351501658515,-1.35692125760874,-1.25633714695288,-1.0066215631024,-1.33841551400654,-1.8686880128967,-7.91049851115241
"21",2018-04-16,-1.08351501658515,-1.3626931970677,-1.25844247122142,-1.02075459474582,-1.34065637206204,-1.87112210030624,-7.93718375198837
"22",2018-04-17,-1.08351501658515,-1.34450111708436,-1.25831095583673,-1.0132812837754,-1.33240027584923,-1.86337345912588,-7.89538210825675
"23",2018-04-18,-1.08351501658515,-1.34739927990346,-1.24565533864363,-1.00013824902645,-1.32420785457522,-1.82892380689303,-7.82983954562693
"24",2018-04-19,-1.08351501658515,-1.34860611356786,-1.24591956245042,-0.997534126279044,-1.32583037243463,-1.84117259622723,-7.84257778754434
"25",2018-04-20,-1.08351501658515,-1.35607863431966,-1.25199001397844,-0.999590085065079,-1.32655115741159,-1.83471749552285,-7.85244240288276
"26",2018-04-23,-1.08351501658515,-1.36581532936364,-1.24023369027779,-0.999361732075643,-1.32889237782359,-1.85516966808324,-7.87298781420905
"27",2018-04-24,-1.08351501658515,-1.37013317452271,-1.2223132491767,-0.9984480390525,-1.33258007008305,-1.8533942879128,-7.86038383733291
"28",2018-04-25,-1.08351501658515,-1.36677536524103,-1.24036607112899,-1.00301534825935,-1.33859488486506,-1.83427203226743,-7.866538718347
"29",2018-04-26,-1.08351501658515,-1.3551153923462,-1.23983661384306,-1.00630208613924,-1.34995671968941,-1.83560831562339,-7.87033414422646
"30",2018-04-27,-1.08351501658515,-1.34860611356786,-1.22949394074437,-0.991865916713407,-1.34441651823527,-1.81150753402674,-7.80940503987279
"31",2018-04-30,-1.08351501658515,-1.34788207501232,-1.24327631288644,-0.997534126279044,-1.34879609780133,-1.80121193739422,-7.8222155659585
"32",2018-05-01,-1.08351501658515,-1.33361094608109,-1.22909541315669,-0.997351413625818,-1.34495321780791,-1.79807495492146,-7.78660096217812
"33",2018-05-02,-1.08351501658515,-1.34280937558904,-1.22071532705092,-0.989990790769128,-1.34155217326308,-1.79672999408888,-7.7753126773462
"34",2018-05-03,-1.08351501658515,-1.33288369449568,-1.20549518319018,-0.978226082875243,-1.33976029348947,-1.78416285782854,-7.72404312846427
"35",2018-05-04,-1.08351501658515,-1.36161174483731,-1.19262381262272,-0.993191919125226,-1.33823617302056,-1.79560900656184,-7.76478767275281
"36",2018-05-07,-1.08351501658515,-1.35812457985548,-1.18966731556516,-0.984316677167326,-1.35049220819638,-1.73930029677101,-7.70541609414052
"37",2018-05-08,-1.08351501658515,-1.36065014969975,-1.17228133207907,-0.969745987071277,-1.34199995364788,-1.75082739237117,-7.6790198314543
"38",2018-05-09,-1.08351501658515,-1.36209242261128,-1.16281224624095,-0.954780226089939,-1.33078186809673,-1.71822943146036,-7.61221121108441
"39",2018-05-10,-1.08351501658515,-1.35824489210909,-1.14203374031762,-0.93264830784226,-1.31200778761723,-1.69481872913906,-7.52326847361041
"40",2018-05-11,-1.08351501658515,-1.35427232522649,-1.12675498371352,-0.935965014266166,-1.3016634664237,-1.6955016421983,-7.49767244841333
"41",2018-05-14,-1.08351501658515,-1.34051207394058,-1.12538812336691,-0.952436445006783,-1.2996628359673,-1.71187297341541,-7.51338746828212
"42",2018-05-15,-1.08351501658515,-1.35077730719777,-1.15739062835983,-0.962588060214335,-1.30720329137011,-1.72367329616876,-7.58514759989597
"43",2018-05-16,-1.08351501658515,-1.36353406829723,-1.15236886069087,-0.952758252912234,-1.30956124797237,-1.70937420387939,-7.57111165033725
"44",2018-05-17,-1.08351501658515,-1.36737523082748,-1.14598053571107,-0.964056893600543,-1.31571877395338,-1.70755633438381,-7.58420278506143
