"","date","SQ","PYPL","MA","V","index"
"1",2015-11-19,NA,NA,NA,NA,0
"2",2015-11-20,-1.01347664759132,-1.0070556851113,-1.49034538062547,-1.50812621761638,-5.01900393094447
"3",2015-11-23,-1.01660433392411,-1.00465564553869,-1.48525562124924,-1.50746597010149,-5.01398157081353
"4",2015-11-24,-1.02697626964929,-1.01594206758213,-1.48641686275625,-1.5087863875127,-5.03812158750038
"5",2015-11-25,-1.02839630895813,-1.02214117629966,-1.49418166802899,-1.51406480643949,-5.05878395972626
"6",2015-11-27,-1.03010013264832,-1.01876059098096,-1.49721290323319,-1.51785561744215,-5.06392924430462
"7",2015-11-30,-1.02797031804567,-1.02129618616668,-1.49266536198742,-1.51324045916392,-5.05517232536369
"8",2015-12-01,-1.02811232141635,-1.02016941043409,-1.49935155707353,-1.52690970095018,-5.07454298987415
"9",2015-12-02,-1.02995815529997,-1.02143705262638,-1.49926244797254,-1.51208594010779,-5.06274359600667
"10",2015-12-03,-1.02967419501863,-1.02171866850614,-1.50665140536003,-1.52641625003113,-5.08446051891594
"11",2015-12-04,-1.02981617608993,-1.03466147332756,-1.51678146402316,-1.53873924560293,-5.11999835904357
"12",2015-12-07,-1.02811232141635,-1.01509630503739,-1.49239773918298,-1.50399849293682,-5.03960485857353
"13",2015-12-08,-1.02356740431338,-1.0215778621398,-1.50024235510581,-1.51802028302262,-5.06340790458161
"14",2015-12-09,-1.02697626964929,-1.01537825627513,-1.49703467428554,-1.52592275376339,-5.06531195397335
"15",2015-12-10,-1.0288222967919,-1.02284522118413,-1.50024235510581,-1.54546358270925,-5.09737345579109
"16",2015-12-11,-1.02797031804567,-1.01692868465695,-1.50211252413712,-1.54152839611844,-5.08853992295817
"17",2015-12-14,-1.02939024092442,-1.02819347217223,-1.52680076653504,-1.57438965829994,-5.15877413793164
"18",2015-12-15,-1.02399356732733,-1.02369000301664,-1.51376246963859,-1.56199018671539,-5.12343622669794
"19",2015-12-16,-1.02200464268767,-1.00522044642237,-1.49480590025166,-1.53332065002915,-5.05535163939085
"20",2015-12-17,-1.02484584330498,-1.01001917195613,-1.4804291211618,-1.51291058520922,-5.02820472163213
"21",2015-12-18,-1.02413562247871,-1.01622398134429,-1.48677413114512,-1.53217054186282,-5.05930427683095
"22",2015-12-21,-1.0238515103331,-1.02411232444749,-1.51385130944482,-1.570966699186,-5.13278184341141
"23",2015-12-22,-1.02527197002204,-1.00860811800666,-1.50718508613332,-1.55708705443628,-5.0981522285983
"24",2015-12-23,-1.02214672359789,-0.998369113433574,-1.5027357545072,-1.55365193677067,-5.07690352830934
"25",2015-12-24,-1.02157840257923,-0.99405691894818,-1.49213003412181,-1.53430634653209,-5.04207170218131
"26",2015-12-28,-1.02015746481167,-0.994622623445132,-1.49337899870415,-1.53923154314688,-5.04739063010783
"27",2015-12-29,-1.01688863287653,-1.00112462033889,-1.49391412583836,-1.53479906271875,-5.04672644177253
"28",2015-12-30,-1.01816786070429,-0.994481174779226,-1.48328979908756,-1.52361908636554,-5.01955792093661
"29",2015-12-31,-1.01759933474483,-1.0029610050669,-1.49088082897321,-1.53775451061128,-5.04919567939622
"30",2016-01-04,-1.01319226153066,-1.00691450231243,-1.50433798941966,-1.55086929116714,-5.07531404442989
"31",2016-01-05,-1.02640819937013,-1.02734929951912,-1.52697793722376,-1.58106556833865,-5.16180100445166
"32",2016-01-06,-1.03563565636893,-1.03353706415422,-1.52538348563881,-1.57178196482498,-5.16633817098694
"33",2016-01-07,-1.03549375197637,-1.03817383719984,-1.53988935660701,-1.58805687710395,-5.20161382288717
"34",2016-01-08,-1.04060101385899,-1.05010056744779,-1.55496190641718,-1.61203817960033,-5.25770166732429
"35",2016-01-11,-1.03847328092248,-1.0562650417908,-1.57032909940682,-1.62671888880491,-5.29178631092501
