date,GDP
1/1/1947,15248
4/1/1947,15139
7/1/1947,15039
10/1/1947,15204
1/1/1948,15371
4/1/1948,15563
7/1/1948,15585
10/1/1948,15530
1/1/1949,15250
4/1/1949,15137
7/1/1949,15228
10/1/1949,15032
1/1/1950,15559
4/1/1950,15977
7/1/1950,16524
10/1/1950,16764
1/1/1951,16922
4/1/1951,17147
7/1/1951,17420
10/1/1951,17375
1/1/1952,17490
4/1/1952,17459
7/1/1952,17509
10/1/1952,18001
1/1/1953,18268
4/1/1953,18341
7/1/1953,18155
10/1/1953,17797
1/1/1954,17636
4/1/1954,17584
7/1/1954,17701
10/1/1954,17960
1/1/1955,18396
4/1/1955,18621
7/1/1955,18787
10/1/1955,18808
1/1/1956,18658
4/1/1956,18736
7/1/1956,18632
10/1/1956,18845
1/1/1957,18881
4/1/1957,18763
7/1/1957,18862
10/1/1957,18582
1/1/1958,18032
4/1/1958,18081
7/1/1958,18419
10/1/1958,18764
1/1/1959,19041
4/1/1959,19395
7/1/1959,19326
10/1/1959,19296
1/1/1960,19614
4/1/1960,19392
7/1/1960,19390
10/1/1960,19065
1/1/1961,19130
4/1/1961,19380
7/1/1961,19670
10/1/1961,19970
1/1/1962,20254
4/1/1962,20366
7/1/1962,20536
10/1/1962,20521
1/1/1963,20677
4/1/1963,20842
7/1/1963,21219
10/1/1963,21276
1/1/1964,21657
4/1/1964,21824
7/1/1964,22085
10/1/1964,22075
1/1/1965,22547
4/1/1965,22770
7/1/1965,23198
10/1/1965,23656
1/1/1966,24172
4/1/1966,24191
7/1/1966,24321
10/1/1966,24446
1/1/1967,24602
4/1/1967,24556
7/1/1967,24719
10/1/1967,24836
1/1/1968,25288
4/1/1968,25652
7/1/1968,25781
10/1/1968,25813
1/1/1969,26162
4/1/1969,26181
7/1/1969,26281
10/1/1969,26076
1/1/1970,25973
4/1/1970,25929
7/1/1970,26079
10/1/1970,25710
1/1/1971,26328
4/1/1971,26394
7/1/1971,26529
10/1/1971,26510
1/1/1972,26932
4/1/1972,27478
7/1/1972,27666
10/1/1972,28055
1/1/1973,28687
4/1/1973,28935
7/1/1973,28711
10/1/1973,28913
1/1/1974,28606
4/1/1974,28613
7/1/1974,28270
10/1/1974,28088
1/1/1975,27690
4/1/1975,27821
7/1/1975,28214
10/1/1975,28520
1/1/1976,29099
4/1/1976,29250
7/1/1976,29335
10/1/1976,29469
1/1/1977,29749
4/1/1977,30254
7/1/1977,30713
10/1/1977,30626
1/1/1978,30653
4/1/1978,31757
7/1/1978,31982
